"source","variable","var","code","label","N","prop"
"census_2024","age","AGE",1,"20至29歲",2859622,0.14597
"census_2024","age","AGE",2,"30至39歲",3241310,0.165453
"census_2024","age","AGE",3,"40至49歲",3895161,0.198829
"census_2024","age","AGE",4,"50至59歲",3542733,0.180839
"census_2024","age","AGE",5,"60歲及以上",6051706,0.30891
"census_2024","arear","AREAR",1,"北北基宜蘭區",6206537,0.316813
"census_2024","arear","AREAR",2,"桃竹苗區",3162210,0.161415
"census_2024","arear","AREAR",3,"中彰投區",3773718,0.19263
"census_2024","arear","AREAR",4,"雲嘉南區",2771454,0.141469
"census_2024","arear","AREAR",5,"高屏澎湖區",3090994,0.15778
"census_2024","arear","AREAR",6,"花東外島區",585619,0.029893
"census_2024","edu","EDU",1,"小學及以下",2031975,0.103722
"census_2024","edu","EDU",2,"國、初中",2195620,0.112076
"census_2024","edu","EDU",3,"高中、職",5353892,0.27329
"census_2024","edu","EDU",4,"專科",2234216,0.114046
"census_2024","edu","EDU",5,"大學及以上",7774829,0.396867
"census_2024","sex","SEX",1,"男性",9564894,0.488241
"census_2024","sex","SEX",2,"女性",10025638,0.511759
